date,strategy,equity,drawdown
2025-05-01,RF_TOP_30_EXCLUDE_NEG_RATIO_50,277259.1740742721,-0.020109598451784838
2025-05-02,RF_TOP_30_EXCLUDE_NEG_RATIO_50,277259.1740742721,-0.020109598451784838
2025-05-03,RF_TOP_30_EXCLUDE_NEG_RATIO_50,277259.1740742721,-0.020109598451784838
2025-05-04,RF_TOP_30_EXCLUDE_NEG_RATIO_50,277259.1740742721,-0.020109598451784838
2025-05-05,RF_TOP_30_EXCLUDE_NEG_RATIO_50,277259.17407427204,-0.02010959845178506
2025-05-06,RF_TOP_30_EXCLUDE_NEG_RATIO_50,280194.48457198666,-0.009735613201782956
2025-05-07,RF_TOP_30_EXCLUDE_NEG_RATIO_50,280194.48457198666,-0.009735613201782956
2025-05-08,RF_TOP_30_EXCLUDE_NEG_RATIO_50,280194.48457198666,-0.009735613201782956
2025-05-09,RF_TOP_30_EXCLUDE_NEG_RATIO_50,280194.48457198666,-0.009735613201782956
2025-05-10,RF_TOP_30_EXCLUDE_NEG_RATIO_50,280194.48457198666,-0.009735613201782956
2025-05-11,RF_TOP_30_EXCLUDE_NEG_RATIO_50,280194.48457198666,-0.009735613201782956
2025-05-12,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-13,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-14,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-15,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-16,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-17,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-18,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-19,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-20,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-21,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-22,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-23,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-24,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-25,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-26,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-27,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-28,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-29,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-30,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-05-31,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-06-01,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-06-02,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-06-03,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326092,-0.012337956032421271
2025-06-04,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326092,-0.012337956032421271
