date,equity,cash,open_alloc,n_open,strategy
2024-10-24,249806.56861442793,93481.56229711523,156325.0063173127,13,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2024-10-28,249806.56861442793,80991.23386639384,168815.3347480341,14,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2024-10-31,249806.56861442793,68500.90543567245,181305.6631787555,15,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2024-11-01,249806.56861442793,56010.577004951054,193795.99160947689,16,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2024-11-05,249806.56861442793,31029.920143508258,218776.64847091967,18,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2024-11-06,249806.5686144279,6049.2632820654635,243757.30533236245,20,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2024-12-03,251108.61229669582,19181.80374233462,231926.8085543612,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2024-12-05,255865.54334040976,23213.800949215,232651.74239119474,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2024-12-06,260595.48087982187,63435.22882263091,197160.25205719096,16,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2024-12-09,264358.12287370354,52968.81950653169,211389.30336717187,17,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2024-12-10,265584.3983216963,66025.5917325257,199558.80658917062,16,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2024-12-12,265584.3983216963,52746.371816440886,212838.02650525543,17,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2024-12-13,266643.2960355164,65635.76630826223,201007.52972725418,16,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2024-12-16,266643.2960355164,25639.27190293477,241004.02413258166,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2024-12-18,266848.2690963083,50824.90182516939,216023.36727113885,17,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2024-12-27,264728.2383538573,62037.03588449427,202691.20246936302,16,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-01-08,264728.2383538573,35564.21204910854,229164.02630474875,18,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-01-10,260395.41252077484,57842.77093388672,202552.64158688812,16,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-01-16,261517.41062798302,45632.60423931907,215884.80638866394,17,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-01-17,260395.41252077487,18783.459055770494,241611.95346500436,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-01-21,260395.41252077487,5763.68842973175,254631.7240910431,20,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-01-24,261633.78876943092,31828.59952776966,229805.18924166125,18,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-01-27,260070.00090757292,30453.368216783143,229616.63269078976,18,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-01-29,260070.0009075729,17449.868171404498,242620.1327361684,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-02-03,260070.0009075729,4446.368126025853,255623.63278154703,20,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-02-10,266002.80268074805,22715.376317861563,243287.4263628865,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-02-12,267953.68025961774,23702.32018135437,244251.3600782634,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-02-13,272311.6429520613,40396.48929245847,231915.15365960286,18,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-02-18,275746.36362016783,56167.416379225535,219578.9472409423,17,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-02-20,282936.65666149685,125874.45375827493,157062.20290322194,12,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-02-21,282949.1682296366,88350.87785013711,194598.29037949952,15,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-02-25,282166.2492316127,75077.63042139182,207088.6188102209,16,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-02-26,282624.62341365713,138592.19455442627,144032.42885923086,11,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-03-06,281098.8234886464,228539.00076549876,52559.82272314765,4,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-03-07,280085.3074508545,253829.1249071229,26256.182543731607,2,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-03-10,281074.65195554885,189347.95031007944,91726.7016454694,7,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-03-11,281300.1737716254,215736.85100309906,65563.3227685263,5,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-03-19,280085.3074508545,211816.32878949473,68268.97866135978,5,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-03-21,280085.3074508545,183807.79804440928,96277.50940644523,7,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-03-26,280085.3074508545,169803.53267186656,110281.77477898795,8,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-03-27,280085.3074508545,155799.26729932384,124286.04015153067,9,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-03-31,280085.3074508545,141795.00192678111,138290.3055240734,10,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-04-04,277259.1740742721,179997.16992132287,97262.00415294922,7,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-05-02,277259.1740742721,166134.21121760926,111124.96285666282,8,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-05-05,277259.17407427204,138408.29381018205,138850.88026409002,10,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-05-06,280194.48457198666,154580.0162255895,125614.46834639717,9,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-05-07,280194.48457198666,140570.29199699016,139624.1925749965,10,RF_TOP_30_EXCLUDE_NEG_RATIO_50
