entry_date,daily_mean_return,n_signals,equity_proxy,drawdown_proxy,strategy
2025-07-17,-0.04155848234403183,3,443.03362685016214,-0.04155848234403181,RandomForest_TOP_20
2025-07-22,-0.0883057940764058,1,403.9111906286085,-0.12619442163643768,RandomForest_TOP_20
2025-07-28,-0.167942409603037,1,336.07737200880837,-0.2729434359913897,RandomForest_TOP_20
2025-07-30,-0.111692877313331,1,298.53992332924184,-0.3541504755950554,RandomForest_TOP_20
2025-08-05,-0.1301780670708179,1,259.67657316677094,-0.4382259183006981,RandomForest_TOP_20
2025-08-06,0.2929766272397399,5,335.755739746345,-0.27363924257373473,RandomForest_TOP_20
2025-08-08,0.1208377060177069,1,376.3276931195715,-0.18586747490506084,RandomForest_TOP_20
2025-08-12,0.19641796762615132,8,450.2452137635557,-0.025957218947566307,RandomForest_TOP_20
2025-08-13,0.0009797245891018,1,450.68633007060527,-0.02500292528413206,RandomForest_TOP_20
2025-08-15,-0.0246915967487745,3,439.5581649483168,-0.04907715988425099,RandomForest_TOP_20
2025-08-18,0.0896183297339506,1,478.95063351190527,0.0,RandomForest_TOP_20
2025-08-19,0.14669067366525942,3,549.2082245941693,0.0,RandomForest_TOP_20
2025-08-20,0.1119982699343853,1,610.7185955824516,0.0,RandomForest_TOP_20
2025-08-27,0.44967559199758156,2,885.3438415949222,0.0,RandomForest_TOP_20
2025-08-28,-0.0645416062714949,1,828.20232795581,-0.06454160627149486,RandomForest_TOP_20
2025-09-04,-0.11457442872253827,3,733.3115193635967,-0.1717212173266417,RandomForest_TOP_20
2025-09-09,0.2714490563770901,1,932.3682393252953,0.0,RandomForest_TOP_20
2025-09-10,0.1039922896580138,1,1029.327347337144,0.0,RandomForest_TOP_20
2025-09-12,0.17576302427268414,2,1210.2450348717,0.0,RandomForest_TOP_20
2025-09-15,0.32992694313445275,4,1609.5374796705692,0.0,RandomForest_TOP_20
2025-09-18,0.10243653754362261,2,1774.4129261347114,0.0,RandomForest_TOP_20
2025-09-19,0.06793275829990345,2,1894.9536905700452,0.0,RandomForest_TOP_20
2025-09-22,0.1156691845448442,2,2114.1414387085256,0.0,RandomForest_TOP_20
2025-09-23,0.20537444968608365,2,2548.332073241834,0.0,RandomForest_TOP_20
2025-09-24,-0.0642742748586204,1,2384.5398771352507,-0.06427427485862036,RandomForest_TOP_20
2025-10-02,-0.0693446430592306,1,2219.184810494805,-0.12916184126988917,RandomForest_TOP_20
2025-10-03,-0.02715327365450305,2,2158.9266780455227,-0.1528079481026715,RandomForest_TOP_20
2025-10-06,-0.0098284714793329,1,2137.7077287643815,-0.16113455102226193,RandomForest_TOP_20
2025-10-07,0.0112524464310152,1,2161.7621704674702,-0.15169526249481025,RandomForest_TOP_20
2025-10-08,-0.0627989497167723,1,2026.0057766246632,-0.20496790904989826,RandomForest_TOP_20
2025-10-13,0.2268175766286984,1,2485.5394971144133,-0.024640656838549324,RandomForest_TOP_20
2025-10-20,-0.0099796980339205,1,2460.734563481829,-0.034374448557863646,RandomForest_TOP_20
2025-10-22,0.0186316563179175,1,2506.582124158243,-0.016383245151594172,RandomForest_TOP_20
2025-10-23,0.20528286337037513,2,3021.1404798784442,0.0,RandomForest_TOP_20
2025-10-24,-0.0410596040664983,1,2897.0936479453644,-0.041059604066498334,RandomForest_TOP_20
2025-10-27,-0.0244056684431925,1,2826.388140924731,-0.06446318542643503,RandomForest_TOP_20
2025-10-28,0.4721256172372093,1,4160.798386510748,0.0,RandomForest_TOP_20
2025-10-29,0.08901782496472407,4,4531.183608994668,0.0,RandomForest_TOP_20
2025-11-03,-0.0533510502345965,4,4289.440204649013,-0.05335105023459652,RandomForest_TOP_20
2025-11-04,0.08887574771141347,3,4670.667410100593,0.0,RandomForest_TOP_20
2025-11-05,0.0241839365271712,2,4783.6225342859925,0.0,RandomForest_TOP_20
2025-11-06,0.05209086217731909,2,5032.805556427802,0.0,RandomForest_TOP_20
2025-11-07,0.0118511435372387,1,5092.45005747204,0.0,RandomForest_TOP_20
2025-11-10,0.19938530293368106,3,6107.809754855744,0.0,RandomForest_TOP_20
2025-11-12,-0.10294158509551161,3,5479.062137229065,-0.10294158509551166,RandomForest_TOP_20
2025-11-14,0.0543420065120557,1,5776.805367570325,-0.05419363087107765,RandomForest_TOP_20
2025-11-17,-0.0353091764674964,1,5572.831127428404,-0.08758927486273271,RandomForest_TOP_20
2025-11-18,0.029532355022617734,3,5737.409954764715,-0.06064363740153489,RandomForest_TOP_20
2025-11-19,0.1169940572828833,1,6408.652823667843,0.0,RandomForest_TOP_20
2025-11-21,0.01646715246875942,5,6514.185086834527,0.0,RandomForest_TOP_20
2025-12-02,0.09308427157202549,2,7120.55326052787,0.0,RandomForest_TOP_20
2025-12-03,0.05255015536315295,2,7494.7394406402145,0.0,RandomForest_TOP_20
2025-12-04,-0.0278900390559863,1,7285.710864926318,-0.027890039055986304,RandomForest_TOP_20
2025-12-05,-0.006577690235766499,2,7237.7877157094745,-0.03428427725417904,RandomForest_TOP_20
2025-12-08,-0.00893143240753,1,7173.143903946564,-0.042909501956772345,RandomForest_TOP_20
2025-12-09,0.0150388971556409,1,7281.02007740063,-0.02851591638805906,RandomForest_TOP_20
2025-12-10,-0.0532014282584716,1,6893.659410104308,-0.08020025716658685,RandomForest_TOP_20
2025-12-11,-0.03507034769667,1,6651.896377689529,-0.11245795395906233,RandomForest_TOP_20
2023-01-04,0.05427300997818167,5,1.0542730099781816,0.0,RandomForest_TOP_30
2023-01-06,-0.039058900796761026,4,1.0130942650687411,-0.03905890079676111,RandomForest_TOP_30
2023-01-10,0.008952169680265562,8,1.0221636568317403,-0.030456393023952977,RandomForest_TOP_30
2023-01-11,-0.010033042926124499,4,1.011908244985223,-0.040183865651493234,RandomForest_TOP_30
2023-01-13,0.0340177131628302,2,1.0463310494102331,-0.007533115704169369,RandomForest_TOP_30
2023-01-17,-0.1059558612937915,1,0.9354661418715351,-0.1126907992352999,RandomForest_TOP_30
2023-01-18,0.007015859961306202,2,0.9420292413214492,-0.10646556214035618,RandomForest_TOP_30
2023-01-19,0.0738341090218241,1,1.0115831310269234,-0.04049224304067278,RandomForest_TOP_30
2023-01-20,0.08568371056531064,4,1.098259327238585,0.0,RandomForest_TOP_30
2023-01-25,-0.025660275596861896,5,1.0700776902248188,-0.025660275596861903,RandomForest_TOP_30
2023-01-26,-0.0240732456653867,1,1.0443174471069872,-0.0491157951439638,RandomForest_TOP_30
2023-01-27,-0.05789684705561976,5,0.9838547595943186,-0.10416899252011835,RandomForest_TOP_30
