fold,model,feature,importance
2,RandomForest,num__feat_stoch_d_entry,0.012800893490034361
2,RandomForest,num__feat_stoch_k_minus_d_entry,0.007760371007565225
2,RandomForest,num__feat_stoch_not_extreme_overbought,0.00038810528661305525
2,RandomForest,num__feat_tenkan_sobre_kijun,0.00031113547851071665
2,RandomForest,num__feat_tk_cross_up_today,0.00026255555841253906
2,RandomForest,num__feat_tk_cross_up_recent,0.00027508886597081713
2,RandomForest,num__feat_chikou_above_close_22ago,0.0025693386352304928
2,RandomForest,num__feat_chikou_above_high_22ago,0.00026172957739538307
2,RandomForest,num__feat_chikou_above_kumo_22ago,0.0
2,RandomForest,num__feat_dollar_volume_ma20,0.015841509712513843
2,RandomForest,num__feat_kumo_actual_thickness_abs,0.01040365961663129
2,RandomForest,num__feat_kumo_actual_thickness_pct_daily,0.01661035992990609
2,RandomForest,num__feat_volume_rel_daily,0.011153191262370745
2,RandomForest,num__feat_stoch_k_daily,0.016829632064995798
2,RandomForest,num__feat_stoch_d_daily,0.011200932355954247
2,RandomForest,num__feat_ret_5d_prior,0.011048015552426606
2,RandomForest,num__feat_ret_10d_prior,0.015556207825782847
2,RandomForest,num__feat_ret_20d_prior,0.01564308520324977
2,RandomForest,num__feat_volatility_20d_prior,0.024056518416269018
2,RandomForest,num__feat_dist_close_to_kijun_pct,0.027119805489680696
2,RandomForest,num__feat_dist_close_to_tenkan_pct,0.010739690748686602
2,RandomForest,num__feat_dist_close_to_kumo_top_pct,0.023890645808787764
2,RandomForest,num__feat_dist_close_to_kumo_bottom_pct,0.02643723173336957
2,RandomForest,num__feat_stoch_k_minus_d_daily,0.008110448512629998
2,RandomForest,num__feat_senkou_a_minus_b_pct,0.015269249661575609
2,RandomForest,num__feat_regime_breadth_precio_sobre_kumo,0.04335238518771357
2,RandomForest,num__feat_regime_breadth_kumo_actual_alcista,0.09547445396267122
2,RandomForest,num__feat_regime_breadth_kumo_futuro_alcista,0.05548565280791634
2,RandomForest,num__feat_regime_breadth_ha2_bullish,0.014268688238633897
2,RandomForest,num__feat_regime_breadth_tenkan_sobre_kijun,0.03235334667810907
2,RandomForest,num__feat_regime_breadth_chikou_sobre_kumo,0.06865295774166624
