top_fraction,n_selected,precision_top,mean_return_top,median_return_top,base_precision_all_test,base_mean_return_all_test,precision_lift_vs_all,return_delta_vs_all,fold,model,test_year
0.1,143,0.6503496503496503,0.044571913413258946,0.0264327824882828,0.5808257522743177,0.029428245470887814,1.1196983739152415,0.015143667942371132,2,RandomForest,2024
0.2,286,0.6328671328671329,0.045604995919371956,0.031815869233008304,0.5808257522743177,0.029428245470887814,1.089598955261606,0.016176750448484142,2,RandomForest,2024
0.3,429,0.6247086247086248,0.04290389348018266,0.0294492315149392,0.5808257522743177,0.029428245470887814,1.0755525598899094,0.01347564800929485,2,RandomForest,2024
0.1,143,0.6923076923076923,0.05646623159291154,0.0336511330348396,0.5808257522743177,0.029428245470887807,1.1919369786839666,0.02703798612202373,2,XGBoost,2024
0.2,286,0.6013986013986014,0.04312167647846398,0.022241222489880398,0.5808257522743177,0.029428245470887807,1.0354200016850619,0.013693431007576175,2,XGBoost,2024
0.3,429,0.6083916083916084,0.03691009000296474,0.0226651757849639,0.5808257522743177,0.029428245470887807,1.0474597691465164,0.0074818445320769325,2,XGBoost,2024
0.1,93,0.5591397849462365,0.05483296289699656,0.0091475672163821,0.49134199134199136,0.026837953529961777,1.137984936762825,0.027995009367034782,3,Dummy,2025
0.2,185,0.5243243243243243,0.04827189082540917,0.0021315995463854,0.49134199134199136,0.026837953529961777,1.0671270389332062,0.021433937295447392,3,Dummy,2025
0.3,278,0.5035971223021583,0.0441145226971457,0.00122174375732405,0.49134199134199136,0.026837953529961777,1.0249421608087979,0.01727656916718392,3,Dummy,2025
0.1,93,0.6129032258064516,0.12093818002975013,0.0701403548943716,0.49134199134199136,0.026837953529961777,1.247406565297712,0.09410022649978834,3,LogisticRegression,2025
0.2,185,0.5513513513513514,0.08098100500133171,0.0155914631699878,0.49134199134199136,0.026837953529961777,1.1221335873318252,0.05414305147136993,3,LogisticRegression,2025
0.3,278,0.5467625899280576,0.06108081207404989,0.01414170416085855,0.49134199134199136,0.026837953529961777,1.1127943460209806,0.03424285854408811,3,LogisticRegression,2025
0.1,93,0.6344086021505376,0.11007524448684494,0.0510991277637581,0.49134199134199136,0.026837953529961777,1.2911752167116668,0.08323729095688316,3,RandomForest,2025
0.2,185,0.5621621621621622,0.07864906031185086,0.0194719061633679,0.49134199134199136,0.026837953529961777,1.1441362066912728,0.05181110678188908,3,RandomForest,2025
0.3,278,0.5719424460431655,0.07594410579636714,0.027802349021407102,0.49134199134199136,0.026837953529961777,1.1640414540614203,0.049106152266405356,3,RandomForest,2025
0.1,93,0.6129032258064516,0.07277434378984078,0.0150388971556409,0.49134199134199136,0.026837953529961774,1.247406565297712,0.04593639025987901,3,XGBoost,2025
0.2,185,0.5459459459459459,0.0440286552828035,0.0099786336903355,0.49134199134199136,0.026837953529961774,1.1111322776521013,0.01719070175284173,3,XGBoost,2025
0.3,278,0.5539568345323741,0.04109470299236387,0.010708193858762101,0.49134199134199136,0.026837953529961774,1.1274363768896776,0.014256749462402095,3,XGBoost,2025
