score_decile,n,success_rate,mean_return,median_return,score_min,score_max,fold,model,test_year
10,91,0.3626373626373626,-0.007410987623597254,-0.0231875677552479,0.3769171156834259,0.4825339182903681,1,RandomForest,2023
1,91,0.4725274725274725,0.0167018365995915,-0.0174736759776157,0.6366630792617798,0.7508805990219116,1,XGBoost,2023
2,91,0.46153846153846156,0.013397024404487394,-0.0048368732946765,0.610467791557312,0.6359656453132629,1,XGBoost,2023
3,90,0.5,0.016942445372400767,0.00024484801414615016,0.5849505662918091,0.6104501485824585,1,XGBoost,2023
4,91,0.5054945054945055,0.016658557277906726,0.0036836200325783,0.5646694898605347,0.5848720669746399,1,XGBoost,2023
5,91,0.5164835164835165,0.02305874915764048,0.0041357455694746,0.5422079563140869,0.5645500421524048,1,XGBoost,2023
6,90,0.3888888888888889,-0.016211420069462766,-0.031753174242892,0.5245214700698853,0.5419539213180542,1,XGBoost,2023
7,91,0.4945054945054945,0.019733601000078968,-0.0018212648796593,0.49762558937072754,0.5244317650794983,1,XGBoost,2023
8,90,0.3888888888888889,-0.01568769831966057,-0.021126823858400902,0.469608336687088,0.49754756689071655,1,XGBoost,2023
9,91,0.3076923076923077,-0.01261673377335525,-0.0321690933760053,0.4194817841053009,0.46867281198501587,1,XGBoost,2023
10,91,0.4725274725274725,0.02128637042369506,-0.0138718023598444,0.1830257922410965,0.419321209192276,1,XGBoost,2023
1,143,0.5594405594405595,0.016365980450302825,0.0137764896284877,0.0,0.0,2,Dummy,2024
2,143,0.5804195804195804,0.013005153679928372,0.0147654909583808,0.0,0.0,2,Dummy,2024
3,143,0.5524475524475524,0.01894088310630724,0.0114770188271225,0.0,0.0,2,Dummy,2024
4,143,0.42657342657342656,-0.0010155402191806395,-0.0155473938972367,0.0,0.0,2,Dummy,2024
5,143,0.6783216783216783,0.06184770175886021,0.0384695179849935,0.0,0.0,2,Dummy,2024
6,142,0.6971830985915493,0.05609847263614057,0.038984764623767154,0.0,0.0,2,Dummy,2024
7,143,0.6783216783216783,0.04885139010402438,0.0404499667406552,0.0,0.0,2,Dummy,2024
8,143,0.5874125874125874,0.04793197405833075,0.0291096411410584,0.0,0.0,2,Dummy,2024
9,143,0.5454545454545454,0.020002026482452803,0.0098587573631793,0.0,0.0,2,Dummy,2024
10,143,0.5034965034965035,0.012440917736783293,0.0013249560224732,0.0,0.0,2,Dummy,2024
1,143,0.6363636363636364,0.039644160308847966,0.0328902965247651,0.5954770410409886,0.7235193013175057,2,LogisticRegression,2024
2,143,0.5944055944055944,0.03806434469038181,0.0195645826352529,0.5669154953734894,0.5954575478850084,2,LogisticRegression,2024
3,143,0.7202797202797203,0.04142999152647048,0.038558092788328,0.540401331022089,0.5667444327714208,2,LogisticRegression,2024
4,143,0.5524475524475524,0.03721993494848877,0.0078008201870299,0.5219690420166166,0.5403738497540087,2,LogisticRegression,2024
5,143,0.5734265734265734,0.026475137466125228,0.0131612537063458,0.5026401104804222,0.5213858987257152,2,LogisticRegression,2024
6,142,0.5352112676056338,0.02680042713776509,0.0070217800647635505,0.48490419376914545,0.502596185504772,2,LogisticRegression,2024
7,143,0.5104895104895105,0.006501974519348089,0.0019695293354018,0.46539332568758895,0.4846565167282274,2,LogisticRegression,2024
8,143,0.5314685314685315,0.02524807792922913,0.0062830868479027,0.43774483593845576,0.4645417017492722,2,LogisticRegression,2024
9,143,0.5594405594405595,0.02349491727362287,0.015985006029008,0.3968836469768206,0.43740984506997094,2,LogisticRegression,2024
10,143,0.5944055944055944,0.029385112556618787,0.0264327824882828,0.0895506084573302,0.39622066767031255,2,LogisticRegression,2024
1,143,0.6503496503496503,0.044571913413258946,0.0264327824882828,0.5722385851675917,0.6416273597226864,2,RandomForest,2024
2,143,0.6153846153846154,0.046638078425484966,0.03949357862161,0.5582291313816156,0.5721481111562412,2,RandomForest,2024
3,143,0.6083916083916084,0.037501688601804084,0.0257154054861045,0.548748374452832,0.5581744356588597,2,RandomForest,2024
4,143,0.6083916083916084,0.029886279211102342,0.0175928588156777,0.5385266658070202,0.54873569163496,2,RandomForest,2024
5,143,0.5874125874125874,0.03711133872957404,0.0122499008749539,0.5273344864805523,0.5384881093978734,2,RandomForest,2024
6,142,0.5704225352112676,0.024531843714840185,0.01782980601867765,0.5158974640092595,0.5273086277136632,2,RandomForest,2024
7,143,0.6293706293706294,0.04407631921526796,0.0213061135656942,0.500747461776011,0.5157981601249783,2,RandomForest,2024
8,143,0.5454545454545454,0.00919062849887103,0.0102714681010421,0.48611943638624217,0.5007091328762587,2,RandomForest,2024
9,143,0.5594405594405595,0.008740184817695533,0.0141932128432748,0.4718988961230487,0.4859830935714397,2,RandomForest,2024
10,143,0.43356643356643354,0.011999939509258404,-0.0115984879689516,0.40721042022386816,0.4718778529168803,2,RandomForest,2024
1,143,0.6923076923076923,0.056466231592911524,0.0336511330348396,0.6274861693382263,0.7570411562919617,2,XGBoost,2024
