feature_transformed,importance,fold,model
num__feat_chikou_above_close_22ago,0.04327413812279701,2,XGBoost
num__feat_chikou_above_high_22ago,0.02063116431236267,2,XGBoost
num__feat_chikou_above_kumo_22ago,0.0,2,XGBoost
num__feat_dollar_volume_ma20,0.021770557388663292,2,XGBoost
num__feat_kumo_actual_thickness_abs,0.02071937918663025,2,XGBoost
num__feat_kumo_actual_thickness_pct_daily,0.02631375566124916,2,XGBoost
num__feat_volume_rel_daily,0.00796583667397499,2,XGBoost
num__feat_stoch_k_daily,0.023483308032155037,2,XGBoost
num__feat_stoch_d_daily,0.03436829522252083,2,XGBoost
num__feat_ret_5d_prior,0.018733272328972816,2,XGBoost
num__feat_ret_10d_prior,0.021759865805506706,2,XGBoost
num__feat_ret_20d_prior,0.017382072284817696,2,XGBoost
num__feat_volatility_20d_prior,0.024810951203107834,2,XGBoost
num__feat_dist_close_to_kijun_pct,0.025806305930018425,2,XGBoost
num__feat_dist_close_to_tenkan_pct,0.017176710069179535,2,XGBoost
num__feat_dist_close_to_kumo_top_pct,0.022203460335731506,2,XGBoost
num__feat_dist_close_to_kumo_bottom_pct,0.025524036958813667,2,XGBoost
num__feat_stoch_k_minus_d_daily,0.018401598557829857,2,XGBoost
num__feat_senkou_a_minus_b_pct,0.01420366670936346,2,XGBoost
num__feat_regime_breadth_precio_sobre_kumo,0.03460253030061722,2,XGBoost
num__feat_regime_breadth_kumo_actual_alcista,0.04220635071396828,2,XGBoost
num__feat_regime_breadth_kumo_futuro_alcista,0.036215540021657944,2,XGBoost
num__feat_regime_breadth_ha2_bullish,0.029251769185066223,2,XGBoost
num__feat_regime_breadth_tenkan_sobre_kijun,0.029328953474760056,2,XGBoost
num__feat_regime_breadth_chikou_sobre_kumo,0.03643249347805977,2,XGBoost
num__feat_regime_breadth_entry_events,0.024229928851127625,2,XGBoost
num__feat_regime_market_ret_5d_mean,0.026019489392638206,2,XGBoost
num__feat_regime_market_ret_20d_mean,0.029754523187875748,2,XGBoost
num__feat_regime_market_vol_20d_mean,0.06878817826509476,2,XGBoost
num__feat_regime_market_volume_rel_mean,0.024123402312397957,2,XGBoost
cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_con_tk_cross,0.0,2,XGBoost
cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_sin_tk_confirmado,0.0,2,XGBoost
cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_tk_maduro,0.01193661242723465,2,XGBoost
cat__feat_tk_confirmation_status_no_tk_confirmation_yet,0.0,2,XGBoost
cat__feat_tk_confirmation_status_tk_cross_up_recent,0.0,2,XGBoost
cat__feat_tk_confirmation_status_tk_mature_above_kijun_no_recent_cross,0.011250380426645279,2,XGBoost
cat__feat_chikou_diagnostic_status_chikou_libre_sobre_precio_y_kumo_22ago,0.0,2,XGBoost
cat__feat_chikou_diagnostic_status_chikou_no_confirmado_o_sin_historia,0.01954040303826332,2,XGBoost
cat__feat_chikou_diagnostic_status_chikou_parcial_sobre_close_22ago,0.0,2,XGBoost
