strategy,strategy_type,selected_by_model,selection_detail,n_signals,n_entry_days,success_rate,mean_return,median_return,sum_return_signal_level,equal_signal_compounded_return,daily_proxy_compounded_return,daily_proxy_max_drawdown,daily_proxy_mean_return,daily_proxy_volatility,daily_proxy_sharpe_like,best_signal_return,worst_signal_return,success_lift_vs_baseline,mean_return_delta_vs_baseline,daily_proxy_return_delta_vs_baseline
XGBoost_TOP_10,ranking_top_fraction,XGBoost,Top 10% de señales por score dentro de cada fold,327,117,0.6085626911314985,0.05003838599634363,0.0253945270614217,16.362552220804368,436090.9073136005,99.51782571690282,-0.5893527214338667,0.04728230048625336,0.1275594194895556,5.88418522139312,1.0318414134346243,-0.2482623775312371,1.171833652149253,0.02720308012785516,-114316.51392717357
XGBoost_TOP_20,ranking_top_fraction,XGBoost,Top 20% de señales por score dentro de cada fold,653,202,0.5482388973966309,0.03555451309575884,0.0136155221009655,23.217097051530523,48904705.38716454,671.0657748392103,-0.6543072676176513,0.03968641722126348,0.12403034168041041,5.0794211628555805,1.0318414134346243,-0.3079248912407684,1.0556756086905001,0.012719207227270372,-113744.96597805126
XGBoost_TOP_30,ranking_top_fraction,XGBoost,Top 30% de señales por score dentro de cada fold,980,261,0.5561224489795918,0.03207356901448484,0.0142148369551109,31.432097634195145,27746793451.41173,1157.8210090272785,-0.7052810759956991,0.032106511581542076,0.10023591311435305,5.084755102514956,1.0318414134346243,-0.3079248912407684,1.0708559856311102,0.009238263145996371,-113258.2107438632
Dummy_THRESHOLD_0_50,threshold_fixed_0_50,Dummy,"Señales con score >= 0,50",907,185,0.45093715545755236,0.008370303518951546,-0.0128650839032928,7.591865291689053,20.39233134341948,1.424907880577928,-0.8634524556392738,0.008011593008556087,0.08126963906961261,1.5649152339372545,0.8669652496611768,-0.3079248912407684,0.8683137193098763,-0.014465002349536923,-114414.6068450099
LogisticRegression_THRESHOLD_0_50,threshold_fixed_0_50,LogisticRegression,"Señales con score >= 0,50",1613,443,0.5486670799752015,0.031837196534386665,0.0106943970844423,51.35339800996569,9.14051598223067e+16,81813.38680036199,-0.7769347871228774,0.030379787682646462,0.09921845920669878,4.860629588519093,1.304679001101138,-0.3079248912407684,1.0565001067449242,0.009001890665898196,-32602.644952528484
RandomForest_THRESHOLD_0_50,threshold_fixed_0_50,RandomForest,"Señales con score >= 0,50",2350,510,0.5468085106382978,0.030515752103675246,0.01026837283087155,71.71201744363682,2.8456702323327068e+23,1316598.8775093046,-0.8996123106903908,0.03288143345830602,0.10643011478158924,4.904406757083301,1.304679001101138,-0.3108183561888536,1.0529212904198766,0.007680446235186777,1202182.845756414
XGBoost_THRESHOLD_0_50,threshold_fixed_0_50,XGBoost,"Señales con score >= 0,50",1836,409,0.5430283224400871,0.028102355027762982,0.0093898568160856,51.595923830972836,7.735289328269328e+16,74459.5739774692,-0.8375134027151385,0.03212179192462869,0.0976793942062468,5.220319420832072,1.0318414134346243,-0.3079248912407684,1.045642251125035,0.005267049159274513,-39956.457775421266
Dummy_THRESHOLD_OPT_F1,threshold_optimized_f1,Dummy,Threshold optimizado por F1 en validación,907,185,0.45093715545755236,0.008370303518951546,-0.0128650839032928,7.591865291689053,20.39233134341948,1.424907880577928,-0.8634524556392738,0.008011593008556087,0.08126963906961261,1.5649152339372545,0.8669652496611768,-0.3079248912407684,0.8683137193098763,-0.014465002349536923,-114414.6068450099
LogisticRegression_THRESHOLD_OPT_F1,threshold_optimized_f1,LogisticRegression,Threshold optimizado por F1 en validación,2609,499,0.5350709083940207,0.02580617281695605,0.0076036684170154,67.32830487943833,5.006640577374913e+21,30310.150496107457,-0.918761227133232,0.02423178187506816,0.08463258695489059,4.545147747845467,1.304679001101138,-0.3108183561888536,1.0303196464054976,0.0029708669484675813,-84105.88125678302
RandomForest_THRESHOLD_OPT_F1,threshold_optimized_f1,RandomForest,Threshold optimizado por F1 en validación,3244,590,0.5206535141800247,0.02299497814584658,0.004849981083816,74.5957091051263,2.866229483708839e+23,128286.84073834885,-0.9187612271332322,0.02338438007035849,0.0836480703166282,4.437825331443526,1.304679001101138,-0.3108183561888536,1.0025578595551567,0.00015967227735811176,13870.808985458381
XGBoost_THRESHOLD_OPT_F1,threshold_optimized_f1,XGBoost,Threshold optimizado por F1 en validación,3254,590,0.5190534726490473,0.022801497856666613,0.00441114240844675,74.19607402559316,1.934535640641018e+23,113217.67746262996,-0.9187612271332322,0.023132386828003247,0.08314338015235402,4.416650561915605,1.304679001101138,-0.3108183561888536,0.9994768581428791,-3.380801182185575e-05,-1198.3542902605113
